Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Embarked
0,3, Miss,female,14.5,1,0,14.4542,C
0,3, Mr,male,22.0,0,0,8.05,S
0,3, Miss,female,20.0,1,0,9.825,S
0,3, Miss,female,17.0,0,0,14.4583,C
0,3, Mr,male,21.0,0,0,7.925,S
0,3, Mr,male,70.5,0,0,7.75,Q
0,2, Mr,male,29.0,1,0,21.0,S
0,1, Mr,male,24.0,0,1,247.5208,C
0,3, Miss,female,2.0,4,2,31.275,S
0,2, Mr,male,21.0,2,0,73.5,S
0,3, Mr,male,32.368090452261306,0,0,8.05,S
0,2, Mr,male,32.5,1,0,30.0708,C
1,2, Miss,female,32.5,0,0,13.0,S
0,1, Mr,male,54.0,0,1,77.2875,S
1,3, Master,male,12.0,1,0,11.2417,C
0,3, Mr,male,32.368090452261306,0,0,7.75,Q
1,3, Mr,male,24.0,0,0,7.1417,S
1,3, Miss,female,21.662068965517243,1,1,22.3583,C
0,3, Mr,male,45.0,0,0,6.975,S
0,3, Mr,male,33.0,0,0,7.8958,C
0,3, Mr,male,20.0,0,0,7.05,S
0,3, Mrs,female,47.0,1,0,14.5,S
1,2, Mrs,female,29.0,1,0,26.0,S
0,2, Mr,male,25.0,0,0,13.0,S
0,2, Mr,male,23.0,0,0,15.0458,C
1,1, Miss,female,19.0,0,2,26.2833,S
0,1, Mr,male,37.0,1,0,53.1,S
0,3, Mr,male,16.0,0,0,9.2167,S
0,1, Mr,male,24.0,0,0,79.2,C
0,3, Mrs,female,35.654205607476634,0,2,15.2458,C
1,3, Miss,female,22.0,0,0,7.75,S
1,3, Mrs,female,24.0,1,0,15.85,S
0,3, Mr,male,19.0,0,0,6.75,Q
0,2, Mr,male,18.0,0,0,11.5,S
0,2, Mr,male,19.0,1,1,36.75,S
1,3, Mr,male,27.0,0,0,7.7958,S
0,3, Miss,female,9.0,2,2,34.375,S
0,2, Mr,male,36.5,0,2,26.0,S
0,2, Rev,male,42.0,0,0,13.0,S
0,2, Rev,male,51.0,0,0,12.525,S
1,1, Mrs,female,22.0,1,0,66.6,S
0,3, Mr,male,55.5,0,0,8.05,S
0,3, Mr,male,40.5,0,2,14.5,S
0,3, Mr,male,32.368090452261306,0,0,7.3125,S
0,1, Mr,male,51.0,0,1,61.3792,C
1,3, Miss,female,16.0,0,0,7.7333,Q
0,3, Mr,male,30.0,0,0,8.05,S
0,3, Mr,male,32.368090452261306,0,0,8.6625,S
0,3, Master,male,4.574166666666667,8,2,69.55,S
0,3, Mr,male,44.0,0,1,16.1,S
1,2, Mrs,female,40.0,0,0,15.75,S
0,3, Mr,male,26.0,0,0,7.775,S
0,3, Mr,male,17.0,0,0,8.6625,S
0,3, Master,male,1.0,4,1,39.6875,S
1,3, Master,male,9.0,0,2,20.525,S
1,1, Mrs,female,35.654205607476634,0,1,55.0,S
0,3, Mrs,female,45.0,1,4,27.9,S
0,1, Mr,male,32.368090452261306,0,0,25.925,S
0,3, Mr,male,28.0,0,0,56.4958,S
0,1, Mr,male,61.0,0,0,33.5,S
0,3, Master,male,4.0,4,1,29.125,Q
1,3, Miss,female,1.0,1,1,11.1333,S
0,3, Mr,male,21.0,0,0,7.925,S
0,1, Mr,male,56.0,0,0,30.6958,C
0,3, Mr,male,18.0,1,1,7.8542,S
0,3, Master,male,4.574166666666667,3,1,25.4667,S
0,1, Miss,female,50.0,0,0,28.7125,C
0,2, Mr,male,30.0,0,0,13.0,S
0,3, Mr,male,36.0,0,0,0.0,S
0,3, Miss,female,21.662068965517243,8,2,69.55,S
0,2, Mr,male,32.368090452261306,0,0,15.05,C
0,3, Master,male,9.0,4,2,31.3875,S
1,2, Master,male,1.0,2,1,39.0,S
1,3, Miss,female,4.0,0,2,22.025,S
0,1, Mr,male,32.368090452261306,0,0,50.0,S
1,3, Mrs,female,35.654205607476634,1,0,15.5,Q
1,1, Mr,male,45.0,0,0,26.55,S
0,3, Mr,male,40.0,1,1,15.5,Q
0,3, Mr,male,36.0,0,0,7.8958,S
1,2, Mrs,female,32.0,0,0,13.0,S
0,2, Mr,male,19.0,0,0,13.0,S
1,3, Miss,female,19.0,1,0,7.8542,S
1,2, Master,male,3.0,1,1,26.0,S
1,1, Mrs,female,44.0,0,0,27.7208,C
1,1, Miss,female,58.0,0,0,146.5208,C
0,3, Mr,male,32.368090452261306,0,0,7.75,Q
0,3, Mr,male,42.0,0,1,8.4042,S
1,3, Miss,female,21.662068965517243,0,0,7.75,Q
0,2, Miss,female,24.0,0,0,13.0,S
0,3, Mr,male,28.0,0,0,9.5,S
0,3, Mr,male,32.368090452261306,8,2,69.55,S
0,3, Mr,male,34.0,0,0,6.4958,S
0,3, Mr,male,45.5,0,0,7.225,C
1,3, Mr,male,18.0,0,0,8.05,S
0,3, Miss,female,2.0,0,1,10.4625,S
0,3, Mr,male,32.0,1,0,15.85,S
1,3, Mr,male,26.0,0,0,18.7875,C
1,3, Miss,female,16.0,0,0,7.75,Q
1,1, Mr,male,40.0,0,0,31.0,C
0,3, Mr,male,24.0,0,0,7.05,S
1,2, Miss,female,35.0,0,0,21.0,S
0,3, Mr,male,22.0,0,0,7.25,S
0,2, Mr,male,30.0,0,0,13.0,S
0,3, Mr,male,32.368090452261306,1,0,7.75,Q
1,1, Miss,female,31.0,1,0,113.275,C
1,3, Miss,female,27.0,0,0,7.925,S
0,2, Mr,male,42.0,1,0,27.0,S
1,1, Miss,female,32.0,0,0,76.2917,C
0,2, Mr,male,30.0,0,0,10.5,S
1,3, Mr,male,16.0,0,0,8.05,S
0,2, Mr,male,27.0,0,0,13.0,S
0,3, Mr,male,51.0,0,0,8.05,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
1,1, Mr,male,38.0,1,0,90.0,S
0,3, Mr,male,22.0,0,0,9.35,S
1,2, Mr,male,19.0,0,0,10.5,S
0,3, Mr,male,20.5,0,0,7.25,S
0,2, Mr,male,18.0,0,0,13.0,S
0,3, Miss,female,21.662068965517243,3,1,25.4667,S
1,1, Mrs,female,35.0,1,0,83.475,S
0,3, Mr,male,29.0,0,0,7.775,S
0,2, Mr,male,59.0,0,0,13.5,S
1,3, Miss,female,5.0,4,2,31.3875,S
0,2, Mr,male,24.0,0,0,10.5,S
0,3, Miss,female,21.662068965517243,0,0,7.55,S
0,2, Mr,male,44.0,1,0,26.0,S
1,2, Miss,female,8.0,0,2,26.25,S
0,2, Mr,male,19.0,0,0,10.5,S
0,2, Mr,male,33.0,0,0,12.275,S
0,3, Miss,female,21.662068965517243,1,0,14.4542,C
1,3, Miss,female,21.662068965517243,1,0,15.5,Q
0,2, Mr,male,29.0,0,0,10.5,S
0,3, Mr,male,22.0,0,0,7.125,S
0,3, Mr,male,30.0,0,0,7.225,C
0,1, Dr,male,44.0,2,0,90.0,Q
0,3, Miss,female,25.0,0,0,7.775,S
1,2, Mrs,female,24.0,0,2,14.5,S
1,1, Mr,male,37.0,1,1,52.5542,S
0,2, Rev,male,54.0,1,0,26.0,S
0,3, Mr,male,32.368090452261306,0,0,7.25,S
0,3, Mrs,female,29.0,1,1,10.4625,S
0,1, Mr,male,62.0,0,0,26.55,S
0,3, Mr,male,30.0,1,0,16.1,S
0,3, Mrs,female,41.0,0,2,20.2125,S
1,3, Mrs,female,29.0,0,2,15.2458,C
1,1, Mrs,female,35.654205607476634,0,0,79.2,C
1,1, Miss,female,30.0,0,0,86.5,S
1,1, Miss,female,35.0,0,0,512.3292,C
1,2, Mrs,female,50.0,0,1,26.0,S
0,3, Mr,male,32.368090452261306,0,0,7.75,Q
1,3, Master,male,3.0,4,2,31.3875,S
0,1, Mr,male,52.0,1,1,79.65,S
0,1, Mr,male,40.0,0,0,0.0,S
0,3, Miss,female,21.662068965517243,0,0,7.75,Q
0,2, Mr,male,36.0,0,0,10.5,S
0,3, Mr,male,16.0,4,1,39.6875,S
1,3, Mr,male,25.0,1,0,7.775,S
1,1, Mrs,female,58.0,0,1,153.4625,S
1,1, Miss,female,35.0,0,0,135.6333,S
0,1, Mr,male,32.368090452261306,0,0,31.0,S
1,3, Mr,male,25.0,0,0,0.0,S
1,2, Mrs,female,41.0,0,1,19.5,S
0,1, Mr,male,37.0,0,1,29.7,C
1,3, Miss,female,21.662068965517243,0,0,7.75,Q
1,1, Miss,female,63.0,1,0,77.9583,S
0,3, Miss,female,45.0,0,0,7.75,S
0,2, Mr,male,32.368090452261306,0,0,0.0,S
0,3, Master,male,7.0,4,1,29.125,Q
1,3, Mrs,female,35.0,1,1,20.25,S
0,3, Mr,male,65.0,0,0,7.75,Q
0,3, Mr,male,28.0,0,0,7.8542,S
0,3, Mr,male,16.0,0,0,9.5,S
1,3, Mr,male,19.0,0,0,8.05,S
0,1, Mr,male,32.368090452261306,0,0,26.0,S
0,3, Mr,male,33.0,0,0,8.6625,C
1,3, Mr,male,30.0,0,0,9.5,S
0,3, Mr,male,22.0,0,0,7.8958,S
1,2, Mr,male,42.0,0,0,13.0,S
1,3, Miss,female,22.0,0,0,7.75,Q
1,1, Miss,female,26.0,0,0,78.85,S
1,1, Mrs,female,19.0,1,0,91.0792,C
0,2, Mr,male,36.0,0,0,12.875,C
0,3, Miss,female,24.0,0,0,8.85,S
0,3, Mr,male,24.0,0,0,7.8958,S
0,1, Mr,male,32.368090452261306,0,0,27.7208,C
0,3, Mr,male,23.5,0,0,7.2292,C
0,1, Miss,female,2.0,1,2,151.55,S
1,1, Mr,male,32.368090452261306,0,0,30.5,S
1,1, Mrs,female,50.0,0,1,247.5208,C
1,3, Miss,female,21.662068965517243,0,0,7.75,Q
1,3, Mr,male,32.368090452261306,2,0,23.25,Q
0,3, Mr,male,19.0,0,0,0.0,S
1,2, Miss,female,21.662068965517243,0,0,12.35,Q
0,3, Mr,male,32.368090452261306,0,0,8.05,S
1,1, Master,male,0.92,1,2,151.55,S
1,1, Miss,female,21.662068965517243,0,0,110.8833,C
1,1, Mrs,female,17.0,1,0,108.9,C
0,2, Mr,male,30.0,1,0,24.0,C
1,1, Miss,female,30.0,0,0,56.9292,C
1,1, Miss,female,24.0,0,0,83.1583,C
1,1, Miss,female,18.0,2,2,262.375,C
0,2, Mrs,female,26.0,1,1,26.0,S
0,3, Mr,male,28.0,0,0,7.8958,S
0,2, Mr,male,43.0,1,1,26.25,S
1,3, Miss,female,26.0,0,0,7.8542,S
1,2, Mrs,female,24.0,1,0,26.0,S
0,2, Dr,male,54.0,0,0,14.0,S
1,1, Miss,female,31.0,0,2,164.8667,S
1,1, Mrs,female,40.0,1,1,134.5,C
0,3, Mr,male,22.0,0,0,7.25,S
0,3, Mr,male,27.0,0,0,7.8958,S
1,2, Miss,female,30.0,0,0,12.35,Q
1,2, Mrs,female,22.0,1,1,29.0,S
0,3, Mr,male,32.368090452261306,8,2,69.55,S
1,1, Miss,female,36.0,0,0,135.6333,C
0,3, Mr,male,61.0,0,0,6.2375,S
1,2, Mrs,female,36.0,0,0,13.0,S
1,3, Mrs,female,31.0,1,1,20.525,S
1,1, Miss,female,16.0,0,1,57.9792,C
1,3, Miss,female,21.662068965517243,2,0,23.25,Q
0,1, Mr,male,45.5,0,0,28.5,S
0,1, Mr,male,38.0,0,1,153.4625,S
0,3, Mr,male,16.0,2,0,18.0,S
1,1, Mrs,female,35.654205607476634,1,0,133.65,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
0,1, Mr,male,29.0,1,0,66.6,S
1,1, Miss,female,41.0,0,0,134.5,C
1,3, Mr,male,45.0,0,0,8.05,S
0,1, Mr,male,45.0,0,0,35.5,S
1,2, Master,male,2.0,1,1,26.0,S
1,1, Miss,female,24.0,3,2,263.0,S
0,2, Mr,male,28.0,0,0,13.0,S
0,2, Mr,male,25.0,0,0,13.0,S
0,2, Mr,male,36.0,0,0,13.0,S
1,2, Miss,female,24.0,0,0,13.0,S
1,2, Miss,female,40.0,0,0,13.0,S
1,3, Mrs,female,35.654205607476634,1,0,16.1,S
1,3, Master,male,3.0,1,1,15.9,S
0,3, Mr,male,42.0,0,0,8.6625,S
0,3, Mr,male,23.0,0,0,9.225,S
0,1, Mr,male,32.368090452261306,0,0,35.0,S
0,3, Mr,male,15.0,1,1,7.2292,C
0,3, Mr,male,25.0,1,0,17.8,S
0,3, Mr,male,32.368090452261306,0,0,7.225,C
0,3, Mr,male,28.0,0,0,9.5,S
1,1, Miss,female,22.0,0,1,55.0,S
0,2, Miss,female,38.0,0,0,13.0,S
1,3, Miss,female,21.662068965517243,0,0,7.8792,Q
1,3, Miss,female,21.662068965517243,0,0,7.8792,Q
0,3, Mr,male,40.0,1,4,27.9,S
0,2, Mr,male,29.0,1,0,27.7208,C
0,3, Mrs,female,45.0,0,1,14.4542,C
0,3, Mr,male,35.0,0,0,7.05,S
0,3, Mr,male,32.368090452261306,1,0,15.5,Q
0,3, Mr,male,30.0,0,0,7.25,S
1,1, Mrs,female,60.0,1,0,75.25,C
1,3, Mrs,female,35.654205607476634,0,0,7.2292,C
1,3, Miss,female,21.662068965517243,0,0,7.75,Q
1,1, Mme,female,24.0,0,0,69.3,C
1,1, Mr,male,25.0,1,0,55.4417,C
0,3, Mr,male,18.0,1,0,6.4958,S
0,3, Mr,male,19.0,0,0,8.05,S
0,1, Mr,male,22.0,0,0,135.6333,C
0,3, Miss,female,3.0,3,1,21.075,S
1,1, Mrs,female,35.654205607476634,1,0,82.1708,C
1,3, Miss,female,22.0,0,0,7.25,S
0,1, Mr,male,27.0,0,2,211.5,C
0,3, Mr,male,20.0,0,0,4.0125,C
0,3, Mr,male,19.0,0,0,7.775,S
1,1, Miss,female,42.0,0,0,227.525,C
1,3, Miss,female,1.0,0,2,15.7417,C
0,3, Mr,male,32.0,0,0,7.925,S
1,1, Mrs,female,35.0,1,0,52.0,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
0,2, Mr,male,18.0,0,0,73.5,S
0,3, Master,male,1.0,5,2,46.9,S
1,2, Miss,female,36.0,0,0,13.0,S
0,3, Mr,male,32.368090452261306,0,0,7.7292,Q
1,2, Miss,female,17.0,0,0,12.0,C
1,1, Mr,male,36.0,1,2,120.0,S
1,3, Mr,male,21.0,0,0,7.7958,S
0,3, Mr,male,28.0,2,0,7.925,S
1,1, Miss,female,23.0,1,0,113.275,C
1,3, Mrs,female,24.0,0,2,16.7,S
0,3, Mr,male,22.0,0,0,7.7958,S
0,3, Miss,female,31.0,0,0,7.8542,S
0,2, Mr,male,46.0,0,0,26.0,S
0,2, Dr,male,23.0,0,0,10.5,S
1,2, Mrs,female,28.0,0,0,12.65,S
1,3, Mr,male,39.0,0,0,7.925,S
0,3, Mr,male,26.0,0,0,8.05,S
0,3, Miss,female,21.0,1,0,9.825,S
0,3, Mr,male,28.0,1,0,15.85,S
0,3, Miss,female,20.0,0,0,8.6625,S
0,2, Mr,male,34.0,1,0,21.0,S
0,3, Mr,male,51.0,0,0,7.75,S
1,2, Master,male,3.0,1,1,18.75,S
0,3, Mr,male,21.0,0,0,7.775,S
0,3, Miss,female,21.662068965517243,3,1,25.4667,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,S
0,3, Mr,male,32.368090452261306,0,0,6.8583,Q
1,1, Miss,female,33.0,1,0,90.0,Q
0,2, Mr,male,32.368090452261306,0,0,0.0,S
1,3, Mr,male,44.0,0,0,7.925,S
0,3, Mrs,female,35.654205607476634,0,0,8.05,S
1,2, Mrs,female,34.0,1,1,32.5,S
1,2, Miss,female,18.0,0,2,13.0,S
0,2, Mr,male,30.0,0,0,13.0,S
0,3, Miss,female,10.0,0,2,24.15,S
0,3, Mr,male,32.368090452261306,0,0,7.8958,C
0,3, Mr,male,21.0,0,0,7.7333,Q
0,3, Mr,male,29.0,0,0,7.875,S
0,3, Mrs,female,28.0,1,1,14.4,S
0,3, Mr,male,18.0,1,1,20.2125,S
0,3, Mr,male,32.368090452261306,0,0,7.25,S
1,2, Mrs,female,28.0,1,0,26.0,S
1,2, Miss,female,19.0,0,0,26.0,S
0,3, Mr,male,32.368090452261306,0,0,7.75,Q
1,3, Mr,male,32.0,0,0,8.05,S
1,1, Mr,male,28.0,0,0,26.55,S
1,3, Mrs,female,35.654205607476634,1,0,16.1,S
1,2, Mrs,female,42.0,1,0,26.0,S
0,3, Mr,male,17.0,0,0,7.125,S
0,1, Mr,male,50.0,1,0,55.9,S
1,1, Miss,female,14.0,1,2,120.0,S
0,3, Miss,female,21.0,2,2,34.375,S
1,2, Mrs,female,24.0,2,3,18.75,S
0,1, Mr,male,64.0,1,4,263.0,S
0,2, Mr,male,31.0,0,0,10.5,S
1,2, Mrs,female,45.0,1,1,26.25,S
0,3, Mr,male,20.0,0,0,9.5,S
0,3, Mr,male,25.0,1,0,7.775,S
1,2, Ms,female,28.0,0,0,13.0,S
1,3, Mr,male,32.368090452261306,0,0,8.1125,S
1,1, Master,male,4.0,0,2,81.8583,S
1,2, Miss,female,13.0,0,1,19.5,S
1,1, Mr,male,34.0,0,0,26.55,S
1,3, Miss,female,5.0,2,1,19.2583,C
1,1, Major,male,52.0,0,0,30.5,S
0,2, Mr,male,36.0,1,2,27.75,S
0,3, Mr,male,32.368090452261306,1,0,19.9667,S
0,1, Mr,male,30.0,0,0,27.75,C
1,1, Mr,male,49.0,1,0,89.1042,C
0,3, Mr,male,32.368090452261306,0,0,8.05,S
1,3, Mr,male,29.0,0,0,7.8958,C
0,1, Mr,male,65.0,0,0,26.55,S
1,1, Mrs,female,35.654205607476634,1,0,51.8625,S
1,2, Miss,female,50.0,0,0,10.5,S
0,3, Mr,male,32.368090452261306,0,0,7.75,Q
1,1, Mr,male,48.0,0,0,26.55,S
0,3, Mr,male,34.0,0,0,8.05,S
0,1, Mr,male,47.0,0,0,38.5,S
0,2, Mr,male,48.0,0,0,13.0,S
0,3, Mr,male,32.368090452261306,0,0,8.05,S
0,3, Mr,male,38.0,0,0,7.05,S
0,2, Mr,male,32.368090452261306,0,0,0.0,S
0,1, Mr,male,56.0,0,0,26.55,S
0,3, Mr,male,32.368090452261306,0,0,7.725,Q
1,3, Miss,female,0.75,2,1,19.2583,C
0,3, Mr,male,32.368090452261306,0,0,7.25,S
0,3, Mr,male,38.0,0,0,8.6625,S
1,2, Mrs,female,33.0,1,2,27.75,S
1,2, Mrs,female,23.0,0,0,13.7917,C
0,3, Miss,female,22.0,0,0,9.8375,S
0,1, Mr,male,32.368090452261306,0,0,52.0,S
0,2, Mr,male,34.0,1,0,21.0,S
0,3, Mr,male,29.0,1,0,7.0458,S
0,3, Mr,male,22.0,0,0,7.5208,S
1,3, Miss,female,2.0,0,1,12.2875,S
0,3, Master,male,9.0,5,2,46.9,S
0,2, Mr,male,32.368090452261306,0,0,0.0,S
0,3, Mr,male,50.0,0,0,8.05,S
1,3, Mrs,female,63.0,0,0,9.5875,S
1,1, Mr,male,25.0,1,0,91.0792,C
0,3, Miss,female,21.662068965517243,3,1,25.4667,S
1,1, Mrs,female,35.0,1,0,90.0,S
0,1, Mr,male,58.0,0,0,29.7,C
0,3, Mr,male,30.0,0,0,8.05,S
1,3, Master,male,9.0,1,1,15.9,S
0,3, Mr,male,32.368090452261306,1,0,19.9667,S
0,3, Mr,male,21.0,0,0,7.25,S
0,1, Mr,male,55.0,0,0,30.5,S
0,1, Mr,male,71.0,0,0,49.5042,C
0,3, Mr,male,21.0,0,0,8.05,S
0,3, Mr,male,32.368090452261306,0,0,14.4583,C
1,1, Miss,female,54.0,1,0,78.2667,C
0,3, Mr,male,32.368090452261306,0,0,15.1,S
0,1, Mrs,female,25.0,1,2,151.55,S
0,3, Mr,male,24.0,0,0,7.7958,S
0,3, Mr,male,17.0,0,0,8.6625,S
0,3, Miss,female,21.0,0,0,7.75,Q
0,3, Miss,female,21.662068965517243,0,0,7.6292,Q
0,3, Miss,female,37.0,0,0,9.5875,S
1,1, Miss,female,16.0,0,0,86.5,S
0,1, Mr,male,18.0,1,0,108.9,C
1,2, Mrs,female,33.0,0,2,26.0,S
1,1, Mr,male,32.368090452261306,0,0,26.55,S
0,3, Mr,male,28.0,0,0,22.525,S
1,3, Mr,male,26.0,0,0,56.4958,S
1,3, Mr,male,29.0,0,0,7.75,Q
0,3, Mr,male,32.368090452261306,0,0,8.05,S
1,1, Mr,male,36.0,0,0,26.2875,S
1,1, Mrs,female,54.0,1,0,59.4,C
0,3, Mr,male,24.0,0,0,7.4958,S
0,1, Mr,male,47.0,0,0,34.0208,S
1,2, Mrs,female,34.0,0,0,10.5,S
0,3, Mr,male,32.368090452261306,0,0,24.15,Q
1,2, Mrs,female,36.0,1,0,26.0,S
0,3, Mr,male,32.0,0,0,7.8958,S
1,1, Miss,female,30.0,0,0,93.5,S
0,3, Mr,male,22.0,0,0,7.8958,S
0,3, Mr,male,32.368090452261306,0,0,7.225,C
1,1, Mrs,female,44.0,0,1,57.9792,C
0,3, Mr,male,32.368090452261306,0,0,7.2292,C
0,3, Mr,male,40.5,0,0,7.75,Q
1,2, Miss,female,50.0,0,0,10.5,S
0,1, Mr,male,32.368090452261306,0,0,221.7792,S
0,3, Mr,male,39.0,0,0,7.925,S
0,2, Mr,male,23.0,2,1,11.5,S
1,2, Miss,female,2.0,1,1,26.0,S
0,3, Mr,male,32.368090452261306,0,0,7.2292,C
0,3, Mr,male,17.0,1,1,7.2292,C
1,3, Mrs,female,35.654205607476634,0,2,22.3583,C
0,3, Miss,female,30.0,0,0,8.6625,S
1,2, Miss,female,7.0,0,2,26.25,S
0,1, Major,male,45.0,0,0,26.55,S
1,1, Miss,female,30.0,0,0,106.425,C
0,3, Mr,male,32.368090452261306,0,0,14.5,S
1,1, Miss,female,22.0,0,2,49.5,C
1,1, Miss,female,36.0,0,2,71.0,S
0,3, Miss,female,9.0,4,2,31.275,S
0,3, Miss,female,11.0,4,2,31.275,S
1,2, Mr,male,32.0,1,0,26.0,S
0,1, Mr,male,50.0,1,0,106.425,C
0,1, Mr,male,64.0,0,0,26.0,S
1,2, Mrs,female,19.0,1,0,26.0,S
1,2, Mr,male,32.368090452261306,0,0,13.8625,C
0,3, Mr,male,33.0,1,1,20.525,S
1,2, Master,male,8.0,1,1,36.75,S
1,1, Mr,male,17.0,0,2,110.8833,C
